SiteNum,Site,ELEV,LAT,LONG,Mean01,Mean02,Mean03,Mean04,Mean05,Mean06,Mean07,Mean08,Mean09,Mean10,Mean11,Mean12,Mean13
435,PILOT POINT,690,33.38,96.97,41.5,46.6,54.5,62.6,71.6,79.8,85,84.3,76.8,66,53,44.3,63.8
437,PINE SPRINGS,5600,31.88,104.82,41.4,45.1,50,57.6,65.7,73.2,73.7,72.1,67,59.3,48.9,42,58
440,PLAINS,3675,33.18,102.83,39.1,44.4,50.9,59,68.2,75.8,78.2,76.6,70.4,60.4,48.1,40.8,59.3
441,PLAINVIEW,3370,34.18,101.7,36.7,41.6,49.1,57.9,67.4,75.7,79,76.8,69.9,59.7,47,38.4,58.3
442,POINT COMFORT,20,28.65,96.55,55.2,58.5,64.9,70.4,77.1,82.4,84.7,84.4,80.3,73.1,64.3,57.3,71.1
443,PORT ARANSAS,12,27.83,97.05,56.1,58.7,66.1,71.8,78.3,83.2,84.4,85,82.6,76.4,67.5,59.3,72.5
445,PORT ARTHUR AP BEAUMONT        BPT,16,29.95,94.02,52.2,55.6,62.2,68.2,75.4,80.9,82.7,82.5,78.7,70.1,60.9,54.2,68.6
446,PORT ISABEL,17,26.07,97.22,59.7,62.4,68.3,73.1,78.5,82.2,83.4,83.4,81.2,76.4,69.5,61.5,73.3
447,PORT MANSFIELD                 9R2,9,26.55,97.43,56.8,60.3,67,72,77.5,81.5,83,82.8,79.8,74,66.7,59.1,71.7
448,PORT O CONNOR,5,28.43,96.43,54.3,57.4,64.1,70,76.4,81.7,83.9,84.1,80.9,74.1,65,57,70.7
449,POST,2620,33.18,101.38,41,45.8,53.3,61.7,70.4,78.1,81.8,80.4,73.3,63.8,51.3,43.1,62
450,POTEET,480,29.03,98.58,51.4,55.2,62.9,69.4,76.3,81.3,84.3,84.2,80.2,71.4,61.4,53.2,69.3
